                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.65186,                0.79631,                 1.3233,                0.80708,                0.93421,                0.87873,                0.63007,                0.87206,                0.98896,                 1.8123,              0.0010753,              0.0010753,              0.0010753
                     52,                0.71422,                 0.8038,                 1.3715,                0.79827,                0.88108,                 0.8598,                0.63103,                0.84356,                0.89678,                 1.8013,              0.0010682,              0.0010682,              0.0010682
                     53,                0.63157,                0.74184,                 1.3217,                0.85121,                0.78477,                0.85479,                0.64406,                0.75635,                0.96837,                   1.61,              0.0010612,              0.0010612,              0.0010612
                     54,                0.71665,                0.76827,                 1.3906,                0.76994,                0.92171,                0.86916,                0.63045,                 0.8536,                 0.9589,                 1.6813,              0.0010541,              0.0010541,              0.0010541
                     55,                0.68864,                0.77328,                 1.3546,                0.76387,                0.86667,                0.80755,                0.58422,                0.89568,                0.95552,                 1.7226,               0.001047,               0.001047,               0.001047
                     56,                0.64767,                0.73238,                 1.2801,                0.78587,                0.82262,                0.82713,                0.60178,                0.82858,                 1.0638,                 1.6222,                0.00104,                0.00104,                0.00104
                     57,                0.66144,                0.71026,                 1.3319,                0.77446,                0.88604,                0.84312,                 0.6165,                0.79258,                0.92984,                 1.5981,              0.0010329,              0.0010329,              0.0010329
                     58,                0.66526,                0.72721,                  1.342,                 0.8072,                0.76063,                 0.8565,                0.63296,                0.78244,                0.97187,                 1.6193,              0.0010258,              0.0010258,              0.0010258
                     59,                0.65344,                0.69037,                 1.3414,                0.80613,                0.92639,                 0.9019,                0.65397,                0.85881,                0.88804,                 1.7926,              0.0010187,              0.0010187,              0.0010187
                     60,                0.69195,                0.69755,                 1.3522,                0.75515,                 0.9516,                  0.859,                0.61335,                0.92584,                0.95321,                 1.8884,              0.0010117,              0.0010117,              0.0010117
                     61,                0.62342,                0.69847,                 1.2986,                0.76925,                 0.9295,                 0.8638,                0.63765,                0.77931,                 0.8628,                 1.6616,              0.0010046,              0.0010046,              0.0010046
                     62,                0.60125,                0.70775,                 1.2787,                0.79442,                0.90881,                  0.845,                0.66233,                0.76411,                0.87865,                 1.6304,             0.00099751,             0.00099751,             0.00099751
                     63,                0.63869,                0.70941,                  1.295,                 0.7091,                0.85794,                0.79261,                0.60866,                0.73979,                 1.2051,                 1.6099,             0.00099044,             0.00099044,             0.00099044
                     64,                0.62692,                0.69959,                 1.2672,                0.78525,                    0.9,                0.85876,                0.63661,                0.74597,                 1.0314,                 1.6496,             0.00098337,             0.00098337,             0.00098337
                     65,                0.61578,                0.70929,                 1.3102,                0.79427,                0.77204,                0.80949,                0.61314,                0.78594,                 1.1199,                 1.6285,             0.00097629,             0.00097629,             0.00097629
                     66,                0.63383,                0.66762,                 1.3109,                0.75421,                0.76111,                0.81234,                0.62889,                0.76153,                 1.0971,                 1.6184,             0.00096922,             0.00096922,             0.00096922
                     67,                0.64007,                0.69489,                 1.3276,                 0.7294,                 0.8603,                0.87948,                0.66444,                0.75868,                  1.073,                 1.6101,             0.00096215,             0.00096215,             0.00096215
